"county_code","county","office","district","party","candidate","votes","pct"
"01","Aitkin","U.S. Senate","","IP","STEVE CARLSON","187","2.57"
"01","Aitkin","U.S. Senate","","R","MIKE MCFADDEN","3200","44.05"
"01","Aitkin","U.S. Senate","","DFL","AL FRANKEN","3788","52.15"
"01","Aitkin","U.S. Senate","","LIB","HEATHER JOHNSON","89","1.23"
"01","Aitkin","U.S. Senate","","WI","WRITE-IN**","0","0.00"
"01","Aitkin","U.S. House","8","R","STEWART MILLS","3499","48.42"
"01","Aitkin","U.S. House","8","DFL","RICK NOLAN","3415","47.26"
"01","Aitkin","U.S. House","8","GP","RAY SKIP SANDMAN","306","4.23"
"01","Aitkin","U.S. House","8","WI","WRITE-IN**","6","0.08"
"01","Aitkin","State House","10B","R","DALE K LUECK","3517","48.81"
"01","Aitkin","State House","10B","DFL","JOE RADINOVICH","3678","51.04"
"01","Aitkin","State House","10B","WI","WRITE-IN**","11","0.15"
"01","Aitkin","Governor & Lt Governor","","IP","HANNAH NICOLLET AND TIM GIESEKE","207","2.86"
"01","Aitkin","Governor & Lt Governor","","R","JEFF JOHNSON AND BILL KUISLE","3319","45.89"
"01","Aitkin","Governor & Lt Governor","","DFL","MARK DAYTON AND TINA SMITH","3533","48.85"
"01","Aitkin","Governor & Lt Governor","","LIB","CHRIS HOLBROOK AND CHRIS DOCK","46","0.64"
"01","Aitkin","Governor & Lt Governor","","GLC","CHRIS WRIGHT AND DAVID DANIELS","126","1.74"
"01","Aitkin","Governor & Lt Governor","","WI","WRITE-IN**","1","0.01"
"01","Aitkin","Secretary of State","","IP","BOB HELLAND","337","4.76"
"01","Aitkin","Secretary of State","","R","DAN SEVERSON","3392","47.87"
"01","Aitkin","Secretary of State","","DFL","STEVE SIMON","3233","45.63"
"01","Aitkin","Secretary of State","","LIB","BOB ODDEN","122","1.72"
"01","Aitkin","Secretary of State","","WI","WRITE-IN**","2","0.03"
"01","Aitkin","State Auditor","","IP","PATRICK DEAN","275","3.87"
"01","Aitkin","State Auditor","","R","RANDY GILBERT","2790","39.26"
"01","Aitkin","State Auditor","","DFL","REBECCA OTTO","3798","53.45"
"01","Aitkin","State Auditor","","LIB","KEEGAN IVERSEN","78","1.10"
"01","Aitkin","State Auditor","","GLC","JUDITH SCHWARTZBACKER","164","2.31"
"01","Aitkin","State Auditor","","WI","WRITE-IN**","1","0.01"
"01","Aitkin","Attorney General","","IP","BRANDAN BORGOS","149","2.09"
"01","Aitkin","Attorney General","","R","SCOTT NEWMAN","2708","38.07"
"01","Aitkin","Attorney General","","DFL","LORI SWANSON","3942","55.41"
"01","Aitkin","Attorney General","","GP","ANDY DAWKINS","41","0.58"
"01","Aitkin","Attorney General","","LIB","MARY O'CONNOR","72","1.01"
"01","Aitkin","Attorney General","","LMN","DAN R. VACEK","201","2.83"
"01","Aitkin","Attorney General","","WI","WRITE-IN**","1","0.01"
"01","Aitkin","County Commissioner District 1","01","NP","ROBERT ""BOB"" A. HARWARTH","465","33.65"
"01","Aitkin","County Commissioner District 1","01","NP","J MARK WEDEL","886","64.11"
"01","Aitkin","County Commissioner District 1","01","WI","WRITE-IN**","31","2.24"
"01","Aitkin","County Commissioner District 3","03","NP","DONALD NIEMI","772","62.92"
"01","Aitkin","County Commissioner District 3","03","NP","ROBERTA ELVECROG","448","36.51"
"01","Aitkin","County Commissioner District 3","03","WI","WRITE-IN**","7","0.57"
"01","Aitkin","County Commissioner District 5","05","NP","ANNE MARCOTTE","660","56.60"
"01","Aitkin","County Commissioner District 5","05","NP","GALEN N. TVEIT (TWEET)","503","43.14"
"01","Aitkin","County Commissioner District 5","05","WI","WRITE-IN**","3","0.26"
"01","Aitkin","County Auditor","","NP","KIRK PEYSAR","5989","99.14"
"01","Aitkin","County Auditor","","WI","WRITE-IN**","52","0.86"
"01","Aitkin","County Treasurer","","NP","LORI GRAMS","6227","99.57"
"01","Aitkin","County Treasurer","","WI","WRITE-IN**","27","0.43"
"01","Aitkin","County Recorder","","NP","MICHAEL (MICK) MORIARTY","5883","99.46"
"01","Aitkin","County Recorder","","WI","WRITE-IN**","32","0.54"
"01","Aitkin","County Sheriff","","NP","SCOTT TURNER","6237","98.33"
"01","Aitkin","County Sheriff","","WI","WRITE-IN**","106","1.67"
"01","Aitkin","County Attorney","","NP","JAMES (JIM) RATZ","5655","99.18"
"01","Aitkin","County Attorney","","WI","WRITE-IN**","47","0.82"
"01","Aitkin","Soil and Water Supervisor District 1","3001","NP","CARLA GILLSON","5637","99.28"
"01","Aitkin","Soil and Water Supervisor District 1","3001","WI","WRITE-IN**","41","0.72"
"01","Aitkin","Soil and Water Supervisor District 2","3001","NP","ROGER VOGT","5713","99.46"
"01","Aitkin","Soil and Water Supervisor District 2","3001","WI","WRITE-IN**","31","0.54"
"01","Aitkin","Associate Justice - Supreme Court 2","","NP","JOHN HANCOCK","2722","47.32"
"01","Aitkin","Associate Justice - Supreme Court 2","","NP","WILHELMINA (MIMI) WRIGHT","3022","52.54"
"01","Aitkin","Associate Justice - Supreme Court 2","","WI","WRITE-IN**","8","0.14"
"01","Aitkin","Associate Justice - Supreme Court 3","","NP","MICHELLE L. MACDONALD","2909","50.99"
"01","Aitkin","Associate Justice - Supreme Court 3","","NP","DAVID LILLEHAUG","2786","48.83"
"01","Aitkin","Associate Justice - Supreme Court 3","","WI","WRITE-IN**","10","0.18"
"01","Aitkin","Judge - Court of Appeals 1","","NP","JOHN R. RODENBERG","4850","99.10"
"01","Aitkin","Judge - Court of Appeals 1","","WI","WRITE-IN**","44","0.90"
"01","Aitkin","Judge - Court of Appeals 3","","NP","CAROL A. HOOTEN","4807","99.36"
"01","Aitkin","Judge - Court of Appeals 3","","WI","WRITE-IN**","31","0.64"
"01","Aitkin","Judge - Court of Appeals 4","","NP","JOHN P. SMITH","4787","99.44"
"01","Aitkin","Judge - Court of Appeals 4","","WI","WRITE-IN**","27","0.56"
"01","Aitkin","Judge - Court of Appeals 9","","NP","MICHAEL KIRK","4773","99.42"
"01","Aitkin","Judge - Court of Appeals 9","","WI","WRITE-IN**","28","0.58"
"01","Aitkin","Judge - Court of Appeals 10","","NP","EDWARD J. CLEARY","4735","99.41"
"01","Aitkin","Judge - Court of Appeals 10","","WI","WRITE-IN**","28","0.59"
"01","Aitkin","Judge - Court of Appeals 12","","NP","MARGARET CHUTICH","4753","99.41"
"01","Aitkin","Judge - Court of Appeals 12","","WI","WRITE-IN**","28","0.59"
"01","Aitkin","Judge - Court of Appeals 15","","NP","KEVIN G. ROSS","4706","99.43"
"01","Aitkin","Judge - Court of Appeals 15","","WI","WRITE-IN**","27","0.57"
"01","Aitkin","Judge - 9th District Court 3","09","NP","JOHN R SOLIEN","5237","99.26"
"01","Aitkin","Judge - 9th District Court 3","09","WI","WRITE-IN**","39","0.74"
"01","Aitkin","Judge - 9th District Court 4","09","NP","DAVID F. HARRINGTON","4691","99.43"
"01","Aitkin","Judge - 9th District Court 4","09","WI","WRITE-IN**","27","0.57"
"01","Aitkin","Judge - 9th District Court 5","09","NP","D. KOREY WAHWASSUCK","4692","99.41"
"01","Aitkin","Judge - 9th District Court 5","09","WI","WRITE-IN**","28","0.59"
"01","Aitkin","Judge - 9th District Court 6","09","NP","CHARLES ""CHAD"" LEDUC","4696","99.49"
