county_code,county,precinct_code,precinct,office,district,party,candidate,votes,pct
16,Cook,0005,COLVILL PREC 3,State Representative District 3A,3A,R,ROGER SKRABA,11,100.00
16,Cook,0005,COLVILL PREC 3,State Representative District 3A,3A,DFL,HEIDI OMERZA,5,6.58
16,Cook,0005,COLVILL PREC 3,State Representative District 3A,3A,DFL,ERIC JOHNSON,8,10.53
16,Cook,0005,COLVILL PREC 3,State Representative District 3A,3A,DFL,ROB ECKLUND,6,7.89
16,Cook,0005,COLVILL PREC 3,State Representative District 3A,3A,DFL,BILL HANSEN,57,75.00
16,Cook,0010,GRAND MARAIS EAST PREC 5,State Representative District 3A,3A,R,ROGER SKRABA,5,100.00
16,Cook,0010,GRAND MARAIS EAST PREC 5,State Representative District 3A,3A,DFL,HEIDI OMERZA,1,0.70
16,Cook,0010,GRAND MARAIS EAST PREC 5,State Representative District 3A,3A,DFL,ERIC JOHNSON,16,11.19
16,Cook,0010,GRAND MARAIS EAST PREC 5,State Representative District 3A,3A,DFL,ROB ECKLUND,12,8.39
16,Cook,0010,GRAND MARAIS EAST PREC 5,State Representative District 3A,3A,DFL,BILL HANSEN,114,79.72
16,Cook,0015,GRAND MARAIS WEST PREC 6,State Representative District 3A,3A,R,ROGER SKRABA,5,100.00
16,Cook,0015,GRAND MARAIS WEST PREC 6,State Representative District 3A,3A,DFL,HEIDI OMERZA,3,2.10
16,Cook,0015,GRAND MARAIS WEST PREC 6,State Representative District 3A,3A,DFL,ERIC JOHNSON,8,5.59
16,Cook,0015,GRAND MARAIS WEST PREC 6,State Representative District 3A,3A,DFL,ROB ECKLUND,13,9.09
16,Cook,0015,GRAND MARAIS WEST PREC 6,State Representative District 3A,3A,DFL,BILL HANSEN,119,83.22
16,Cook,0020,GRAND PORTAGE PREC 1,State Representative District 3A,3A,R,ROGER SKRABA,9,100.00
16,Cook,0020,GRAND PORTAGE PREC 1,State Representative District 3A,3A,DFL,HEIDI OMERZA,2,3.64
16,Cook,0020,GRAND PORTAGE PREC 1,State Representative District 3A,3A,DFL,ERIC JOHNSON,5,9.09
16,Cook,0020,GRAND PORTAGE PREC 1,State Representative District 3A,3A,DFL,ROB ECKLUND,10,18.18
16,Cook,0020,GRAND PORTAGE PREC 1,State Representative District 3A,3A,DFL,BILL HANSEN,38,69.09
16,Cook,0025,HOVLAND PREC 2,State Representative District 3A,3A,R,ROGER SKRABA,15,100.00
16,Cook,0025,HOVLAND PREC 2,State Representative District 3A,3A,DFL,HEIDI OMERZA,5,4.31
16,Cook,0025,HOVLAND PREC 2,State Representative District 3A,3A,DFL,ERIC JOHNSON,11,9.48
16,Cook,0025,HOVLAND PREC 2,State Representative District 3A,3A,DFL,ROB ECKLUND,14,12.07
16,Cook,0025,HOVLAND PREC 2,State Representative District 3A,3A,DFL,BILL HANSEN,86,74.14
16,Cook,0030,CASCADE PREC 7,State Representative District 3A,3A,R,ROGER SKRABA,17,100.00
16,Cook,0030,CASCADE PREC 7,State Representative District 3A,3A,DFL,HEIDI OMERZA,1,0.50
16,Cook,0030,CASCADE PREC 7,State Representative District 3A,3A,DFL,ERIC JOHNSON,26,12.94
16,Cook,0030,CASCADE PREC 7,State Representative District 3A,3A,DFL,ROB ECKLUND,27,13.43
16,Cook,0030,CASCADE PREC 7,State Representative District 3A,3A,DFL,BILL HANSEN,147,73.13
16,Cook,0035,LUTSEN PREC 10,State Representative District 3A,3A,R,ROGER SKRABA,25,100.00
16,Cook,0035,LUTSEN PREC 10,State Representative District 3A,3A,DFL,HEIDI OMERZA,9,5.06
