county_code,county,precinct_code,precinct,office,district,party,candidate,votes,pct
01,Aitkin,0005,AITKIN,U.S. Senator,,IP,STEPHEN WILLIAMS,3,100.00
01,Aitkin,0005,AITKIN,U.S. Senator,,IP,GLEN R. ANDERSON MENZE,0,0.00
01,Aitkin,0005,AITKIN,U.S. Senator,,R,DAVID CARLSON,20,27.40
01,Aitkin,0005,AITKIN,U.S. Senator,,R,BOB CARNEY JR.,13,17.81
01,Aitkin,0005,AITKIN,U.S. Senator,,R,KURT BILLS,40,54.79
01,Aitkin,0005,AITKIN,U.S. Senator,,DFL,JACK EDWARD SHEPARD,8,5.41
01,Aitkin,0005,AITKIN,U.S. Senator,,DFL,AMY KLOBUCHAR,127,85.81
01,Aitkin,0005,AITKIN,U.S. Senator,,DFL,"""DICK"" FRANSON",6,4.05
01,Aitkin,0005,AITKIN,U.S. Senator,,DFL,DARRYL STANTON,7,4.73
01,Aitkin,0010,AITKIN TWP,U.S. Senator,,IP,STEPHEN WILLIAMS,1,100.00
01,Aitkin,0010,AITKIN TWP,U.S. Senator,,IP,GLEN R. ANDERSON MENZE,0,0.00
01,Aitkin,0010,AITKIN TWP,U.S. Senator,,R,DAVID CARLSON,9,27.27
01,Aitkin,0010,AITKIN TWP,U.S. Senator,,R,BOB CARNEY JR.,2,6.06
01,Aitkin,0010,AITKIN TWP,U.S. Senator,,R,KURT BILLS,22,66.67
01,Aitkin,0010,AITKIN TWP,U.S. Senator,,DFL,JACK EDWARD SHEPARD,1,1.85
01,Aitkin,0010,AITKIN TWP,U.S. Senator,,DFL,AMY KLOBUCHAR,48,88.89
01,Aitkin,0010,AITKIN TWP,U.S. Senator,,DFL,"""DICK"" FRANSON",3,5.56
01,Aitkin,0010,AITKIN TWP,U.S. Senator,,DFL,DARRYL STANTON,2,3.70
01,Aitkin,0015,BALL BLUFF TWP,U.S. Senator,,IP,STEPHEN WILLIAMS,1,100.00
01,Aitkin,0015,BALL BLUFF TWP,U.S. Senator,,IP,GLEN R. ANDERSON MENZE,0,0.00
01,Aitkin,0015,BALL BLUFF TWP,U.S. Senator,,R,DAVID CARLSON,4,36.36
01,Aitkin,0015,BALL BLUFF TWP,U.S. Senator,,R,BOB CARNEY JR.,2,18.18
01,Aitkin,0015,BALL BLUFF TWP,U.S. Senator,,R,KURT BILLS,5,45.45
01,Aitkin,0015,BALL BLUFF TWP,U.S. Senator,,DFL,JACK EDWARD SHEPARD,1,3.13
01,Aitkin,0015,BALL BLUFF TWP,U.S. Senator,,DFL,AMY KLOBUCHAR,30,93.75
01,Aitkin,0015,BALL BLUFF TWP,U.S. Senator,,DFL,"""DICK"" FRANSON",1,3.13
01,Aitkin,0015,BALL BLUFF TWP,U.S. Senator,,DFL,DARRYL STANTON,0,0.00
01,Aitkin,0020,BALSAM TWP,U.S. Senator,,IP,STEPHEN WILLIAMS,0,0.00
01,Aitkin,0020,BALSAM TWP,U.S. Senator,,IP,GLEN R. ANDERSON MENZE,0,0.00
01,Aitkin,0020,BALSAM TWP,U.S. Senator,,R,DAVID CARLSON,0,0.00
01,Aitkin,0020,BALSAM TWP,U.S. Senator,,R,BOB CARNEY JR.,0,0.00
01,Aitkin,0020,BALSAM TWP,U.S. Senator,,R,KURT BILLS,1,100.00
01,Aitkin,0020,BALSAM TWP,U.S. Senator,,DFL,JACK EDWARD SHEPARD,0,0.00
01,Aitkin,0020,BALSAM TWP,U.S. Senator,,DFL,AMY KLOBUCHAR,10,100.00
01,Aitkin,0020,BALSAM TWP,U.S. Senator,,DFL,"""DICK"" FRANSON",0,0.00
01,Aitkin,0020,BALSAM TWP,U.S. Senator,,DFL,DARRYL STANTON,0,0.00
01,Aitkin,0025,BEAVER TWP,U.S. Senator,,IP,STEPHEN WILLIAMS,0,0.00
01,Aitkin,0025,BEAVER TWP,U.S. Senator,,IP,GLEN R. ANDERSON MENZE,0,0.00
01,Aitkin,0025,BEAVER TWP,U.S. Senator,,R,DAVID CARLSON,3,60.00
01,Aitkin,0025,BEAVER TWP,U.S. Senator,,R,BOB CARNEY JR.,1,20.00
01,Aitkin,0025,BEAVER TWP,U.S. Senator,,R,KURT BILLS,1,20.00
01,Aitkin,0025,BEAVER TWP,U.S. Senator,,DFL,JACK EDWARD SHEPARD,0,0.00
