county_code,county,precinct_code,precinct,office,district,party,candidate,votes,pct
27,Hennepin,1360,BURNSVILLE P-16,State Senator District 59,59,R,BEN SCHWANKE,26,21.3115
27,Hennepin,1360,BURNSVILLE P-16,State Senator District 59,59,DFL,KARI DZIEDZIC,95,77.8689
27,Hennepin,1360,BURNSVILLE P-16,State Senator District 59,59,WI,WRITE-IN**,1,0.8197
27,Hennepin,1365,MINNEAPOLIS W-1 P-02,State Senator District 59,59,R,BEN SCHWANKE,93,24.6032
27,Hennepin,1365,MINNEAPOLIS W-1 P-02,State Senator District 59,59,DFL,KARI DZIEDZIC,283,74.8677
27,Hennepin,1365,MINNEAPOLIS W-1 P-02,State Senator District 59,59,WI,WRITE-IN**,2,0.5291
27,Hennepin,1370,BURNSVILLE P-17,State Senator District 59,59,R,BEN SCHWANKE,89,22.1393
27,Hennepin,1370,BURNSVILLE P-17,State Senator District 59,59,DFL,KARI DZIEDZIC,309,76.8657
27,Hennepin,1370,BURNSVILLE P-17,State Senator District 59,59,WI,WRITE-IN**,4,0.995
27,Hennepin,1375,MINNEAPOLIS W-1 P-04,State Senator District 59,59,R,BEN SCHWANKE,78,23.0769
27,Hennepin,1375,MINNEAPOLIS W-1 P-04,State Senator District 59,59,DFL,KARI DZIEDZIC,255,75.4438
27,Hennepin,1375,MINNEAPOLIS W-1 P-04,State Senator District 59,59,WI,WRITE-IN**,5,1.4793
27,Hennepin,1380,MINNEAPOLIS W-1 P-05,State Senator District 59,59,R,BEN SCHWANKE,64,22.9391
27,Hennepin,1380,MINNEAPOLIS W-1 P-05,State Senator District 59,59,DFL,KARI DZIEDZIC,214,76.7025
27,Hennepin,1380,MINNEAPOLIS W-1 P-05,State Senator District 59,59,WI,WRITE-IN**,1,0.3584
27,Hennepin,1385,MINNEAPOLIS W-1 P-06,State Senator District 59,59,R,BEN SCHWANKE,51,18.6813
27,Hennepin,1385,MINNEAPOLIS W-1 P-06,State Senator District 59,59,DFL,KARI DZIEDZIC,220,80.5861
27,Hennepin,1385,MINNEAPOLIS W-1 P-06,State Senator District 59,59,WI,WRITE-IN**,2,0.7326
27,Hennepin,1390,MINNEAPOLIS W-1 P-07,State Senator District 59,59,R,BEN SCHWANKE,15,23.0769
27,Hennepin,1390,MINNEAPOLIS W-1 P-07,State Senator District 59,59,DFL,KARI DZIEDZIC,49,75.3846
27,Hennepin,1390,MINNEAPOLIS W-1 P-07,State Senator District 59,59,WI,WRITE-IN**,1,1.5385
27,Hennepin,1395,MINNEAPOLIS W-1 P-08,State Senator District 59,59,R,BEN SCHWANKE,28,18.6667
27,Hennepin,1395,MINNEAPOLIS W-1 P-08,State Senator District 59,59,DFL,KARI DZIEDZIC,121,80.6667
27,Hennepin,1395,MINNEAPOLIS W-1 P-08,State Senator District 59,59,WI,WRITE-IN**,1,0.6667
27,Hennepin,1400,MINNEAPOLIS W-1 P-09,State Senator District 59,59,R,BEN SCHWANKE,30,17.5439
27,Hennepin,1400,MINNEAPOLIS W-1 P-09,State Senator District 59,59,DFL,KARI DZIEDZIC,137,80.117
27,Hennepin,1400,MINNEAPOLIS W-1 P-09,State Senator District 59,59,WI,WRITE-IN**,4,2.3392
27,Hennepin,1405,COON RAPIDS W-5 P-1,State Senator District 59,59,R,BEN SCHWANKE,32,23.3577
27,Hennepin,1405,COON RAPIDS W-5 P-1,State Senator District 59,59,DFL,KARI DZIEDZIC,105,76.6423
27,Hennepin,1405,COON RAPIDS W-5 P-1,State Senator District 59,59,WI,WRITE-IN**,0,0
27,Hennepin,1420,COON RAPIDS W-5 P-4,State Senator District 59,59,R,BEN SCHWANKE,22,15.2778
27,Hennepin,1420,COON RAPIDS W-5 P-4,State Senator District 59,59,DFL,KARI DZIEDZIC,118,81.9444
27,Hennepin,1420,COON RAPIDS W-5 P-4,State Senator District 59,59,WI,WRITE-IN**,4,2.7778
27,Hennepin,1425,COON RAPIDS W-5 P-5,State Senator District 59,59,R,BEN SCHWANKE,1,50
27,Hennepin,1425,COON RAPIDS W-5 P-5,State Senator District 59,59,DFL,KARI DZIEDZIC,1,50
27,Hennepin,1425,COON RAPIDS W-5 P-5,State Senator District 59,59,WI,WRITE-IN**,0,0
27,Hennepin,1430,MINNEAPOLIS W-2 P-05,State Senator District 59,59,R,BEN SCHWANKE,18,7.3469
27,Hennepin,1430,MINNEAPOLIS W-2 P-05,State Senator District 59,59,DFL,KARI DZIEDZIC,224,91.4286
27,Hennepin,1430,MINNEAPOLIS W-2 P-05,State Senator District 59,59,WI,WRITE-IN**,3,1.2245
27,Hennepin,1435,MINNEAPOLIS W-2 P-06,State Senator District 59,59,R,BEN SCHWANKE,27,12.1076
27,Hennepin,1435,MINNEAPOLIS W-2 P-06,State Senator District 59,59,DFL,KARI DZIEDZIC,192,86.0987
27,Hennepin,1435,MINNEAPOLIS W-2 P-06,State Senator District 59,59,WI,WRITE-IN**,4,1.7937
27,Hennepin,1440,MINNEAPOLIS W-2 P-07,State Senator District 59,59,R,BEN SCHWANKE,10,15.1515
27,Hennepin,1440,MINNEAPOLIS W-2 P-07,State Senator District 59,59,DFL,KARI DZIEDZIC,56,84.8485
27,Hennepin,1440,MINNEAPOLIS W-2 P-07,State Senator District 59,59,WI,WRITE-IN**,0,0
27,Hennepin,1445,MINNEAPOLIS W-2 P-08,State Senator District 59,59,R,BEN SCHWANKE,8,16.3265
27,Hennepin,1445,MINNEAPOLIS W-2 P-08,State Senator District 59,59,DFL,KARI DZIEDZIC,39,79.5918
27,Hennepin,1445,MINNEAPOLIS W-2 P-08,State Senator District 59,59,WI,WRITE-IN**,2,4.0816
27,Hennepin,1450,MINNEAPOLIS W-2 P-09,State Senator District 59,59,R,BEN SCHWANKE,15,13.5135
27,Hennepin,1450,MINNEAPOLIS W-2 P-09,State Senator District 59,59,DFL,KARI DZIEDZIC,95,85.5856
27,Hennepin,1450,MINNEAPOLIS W-2 P-09,State Senator District 59,59,WI,WRITE-IN**,1,0.9009
27,Hennepin,1455,MINNEAPOLIS W-2 P-10,State Senator District 59,59,R,BEN SCHWANKE,38,22.3529
27,Hennepin,1455,MINNEAPOLIS W-2 P-10,State Senator District 59,59,DFL,KARI DZIEDZIC,131,77.0588
27,Hennepin,1455,MINNEAPOLIS W-2 P-10,State Senator District 59,59,WI,WRITE-IN**,1,0.5882
27,Hennepin,1460,MINNEAPOLIS W-3 P-01,State Senator District 59,59,R,BEN SCHWANKE,6,27.2727
27,Hennepin,1460,MINNEAPOLIS W-3 P-01,State Senator District 59,59,DFL,KARI DZIEDZIC,13,59.0909
27,Hennepin,1460,MINNEAPOLIS W-3 P-01,State Senator District 59,59,WI,WRITE-IN**,3,13.6364
27,Hennepin,1465,MINNEAPOLIS W-3 P-02,State Senator District 59,59,R,BEN SCHWANKE,10,12.3457
27,Hennepin,1465,MINNEAPOLIS W-3 P-02,State Senator District 59,59,DFL,KARI DZIEDZIC,71,87.6543
27,Hennepin,1465,MINNEAPOLIS W-3 P-02,State Senator District 59,59,WI,WRITE-IN**,0,0
27,Hennepin,1470,MINNEAPOLIS W-3 P-03,State Senator District 59,59,R,BEN SCHWANKE,49,17.0139
27,Hennepin,1470,MINNEAPOLIS W-3 P-03,State Senator District 59,59,DFL,KARI DZIEDZIC,230,79.8611
27,Hennepin,1470,MINNEAPOLIS W-3 P-03,State Senator District 59,59,WI,WRITE-IN**,9,3.125
27,Hennepin,1475,MINNEAPOLIS W-3 P-04,State Senator District 59,59,R,BEN SCHWANKE,36,18.5567
27,Hennepin,1475,MINNEAPOLIS W-3 P-04,State Senator District 59,59,DFL,KARI DZIEDZIC,155,79.8969
27,Hennepin,1475,MINNEAPOLIS W-3 P-04,State Senator District 59,59,WI,WRITE-IN**,3,1.5464
27,Hennepin,1480,MINNEAPOLIS W-3 P-05,State Senator District 59,59,R,BEN SCHWANKE,23,15.8621
27,Hennepin,1480,MINNEAPOLIS W-3 P-05,State Senator District 59,59,DFL,KARI DZIEDZIC,119,82.069
27,Hennepin,1480,MINNEAPOLIS W-3 P-05,State Senator District 59,59,WI,WRITE-IN**,3,2.069
