county_code,county,precinct_code,precinct,office,district,party,candidate,votes,pct
01,Aitkin,0005,AITKIN,U.S. Senator,,IP,STEPHEN WILLIAMS,48,5.10
01,Aitkin,0005,AITKIN,U.S. Senator,,R,KURT BILLS,303,32.20
01,Aitkin,0005,AITKIN,U.S. Senator,,DFL,AMY KLOBUCHAR,575,61.11
01,Aitkin,0005,AITKIN,U.S. Senator,,GR,TIM DAVIS,8,0.85
01,Aitkin,0005,AITKIN,U.S. Senator,,MOP,MICHAEL CAVLAN,6,0.64
01,Aitkin,0005,AITKIN,U.S. Senator,,WI,WRITE-IN**,1,0.11
01,Aitkin,0010,AITKIN TWP,U.S. Senator,,IP,STEPHEN WILLIAMS,6,1.22
01,Aitkin,0010,AITKIN TWP,U.S. Senator,,R,KURT BILLS,205,41.67
01,Aitkin,0010,AITKIN TWP,U.S. Senator,,DFL,AMY KLOBUCHAR,273,55.49
01,Aitkin,0010,AITKIN TWP,U.S. Senator,,GR,TIM DAVIS,5,1.02
01,Aitkin,0010,AITKIN TWP,U.S. Senator,,MOP,MICHAEL CAVLAN,2,0.41
01,Aitkin,0010,AITKIN TWP,U.S. Senator,,WI,WRITE-IN**,1,0.20
01,Aitkin,0015,BALL BLUFF TWP,U.S. Senator,,IP,STEPHEN WILLIAMS,6,3.73
01,Aitkin,0015,BALL BLUFF TWP,U.S. Senator,,R,KURT BILLS,44,27.33
01,Aitkin,0015,BALL BLUFF TWP,U.S. Senator,,DFL,AMY KLOBUCHAR,110,68.32
01,Aitkin,0015,BALL BLUFF TWP,U.S. Senator,,GR,TIM DAVIS,1,0.62
01,Aitkin,0015,BALL BLUFF TWP,U.S. Senator,,MOP,MICHAEL CAVLAN,0,0.00
01,Aitkin,0015,BALL BLUFF TWP,U.S. Senator,,WI,WRITE-IN**,0,0.00
01,Aitkin,0020,BALSAM TWP,U.S. Senator,,IP,STEPHEN WILLIAMS,0,0.00
01,Aitkin,0020,BALSAM TWP,U.S. Senator,,R,KURT BILLS,8,34.78
01,Aitkin,0020,BALSAM TWP,U.S. Senator,,DFL,AMY KLOBUCHAR,15,65.22
01,Aitkin,0020,BALSAM TWP,U.S. Senator,,GR,TIM DAVIS,0,0.00
01,Aitkin,0020,BALSAM TWP,U.S. Senator,,MOP,MICHAEL CAVLAN,0,0.00
01,Aitkin,0020,BALSAM TWP,U.S. Senator,,WI,WRITE-IN**,0,0.00
01,Aitkin,0025,BEAVER TWP,U.S. Senator,,IP,STEPHEN WILLIAMS,3,7.14
01,Aitkin,0025,BEAVER TWP,U.S. Senator,,R,KURT BILLS,6,14.29
01,Aitkin,0025,BEAVER TWP,U.S. Senator,,DFL,AMY KLOBUCHAR,31,73.81
01,Aitkin,0025,BEAVER TWP,U.S. Senator,,GR,TIM DAVIS,2,4.76
01,Aitkin,0025,BEAVER TWP,U.S. Senator,,MOP,MICHAEL CAVLAN,0,0.00
01,Aitkin,0025,BEAVER TWP,U.S. Senator,,WI,WRITE-IN**,0,0.00
01,Aitkin,0030,CLARK TWP,U.S. Senator,,IP,STEPHEN WILLIAMS,3,3.30
01,Aitkin,0030,CLARK TWP,U.S. Senator,,R,KURT BILLS,25,27.47
01,Aitkin,0030,CLARK TWP,U.S. Senator,,DFL,AMY KLOBUCHAR,62,68.13
