county_code,county,precinct_code,precinct,office,district,party,candidate,votes,pct
27,Hennepin,1605,FRIDLEY W-1 P-1,State Representative District 61B,61B,DFL,SUSAN ALLEN,10,19.6078
27,Hennepin,1605,FRIDLEY W-1 P-1,State Representative District 61B,61B,RES,NATHAN BLUMENSHINE,41,80.3922
27,Hennepin,1605,FRIDLEY W-1 P-1,State Representative District 61B,61B,WI,WRITE-IN**,0,0
27,Hennepin,1700,MINNEAPOLIS W-8 P-01,State Representative District 61B,61B,DFL,SUSAN ALLEN,57,60.6383
27,Hennepin,1700,MINNEAPOLIS W-8 P-01,State Representative District 61B,61B,RES,NATHAN BLUMENSHINE,36,38.2979
27,Hennepin,1700,MINNEAPOLIS W-8 P-01,State Representative District 61B,61B,WI,WRITE-IN**,1,1.0638
27,Hennepin,1705,FRIDLEY W-2 P-1,State Representative District 61B,61B,DFL,SUSAN ALLEN,135,51.5267
27,Hennepin,1705,FRIDLEY W-2 P-1,State Representative District 61B,61B,RES,NATHAN BLUMENSHINE,126,48.0916
27,Hennepin,1705,FRIDLEY W-2 P-1,State Representative District 61B,61B,WI,WRITE-IN**,1,0.3817
27,Hennepin,1710,FRIDLEY W-2 P-2,State Representative District 61B,61B,DFL,SUSAN ALLEN,58,56.8627
27,Hennepin,1710,FRIDLEY W-2 P-2,State Representative District 61B,61B,RES,NATHAN BLUMENSHINE,43,42.1569
27,Hennepin,1710,FRIDLEY W-2 P-2,State Representative District 61B,61B,WI,WRITE-IN**,1,0.9804
27,Hennepin,1715,FRIDLEY W-2 P-3,State Representative District 61B,61B,DFL,SUSAN ALLEN,87,59.589
27,Hennepin,1715,FRIDLEY W-2 P-3,State Representative District 61B,61B,RES,NATHAN BLUMENSHINE,55,37.6712
27,Hennepin,1715,FRIDLEY W-2 P-3,State Representative District 61B,61B,WI,WRITE-IN**,4,2.7397
27,Hennepin,1720,FRIDLEY W-2 P-4,State Representative District 61B,61B,DFL,SUSAN ALLEN,99,58.9286
27,Hennepin,1720,FRIDLEY W-2 P-4,State Representative District 61B,61B,RES,NATHAN BLUMENSHINE,68,40.4762
27,Hennepin,1720,FRIDLEY W-2 P-4,State Representative District 61B,61B,WI,WRITE-IN**,1,0.5952
27,Hennepin,1725,MINNEAPOLIS W-8 P-06,State Representative District 61B,61B,DFL,SUSAN ALLEN,104,44.6352
27,Hennepin,1725,MINNEAPOLIS W-8 P-06,State Representative District 61B,61B,RES,NATHAN BLUMENSHINE,128,54.9356
27,Hennepin,1725,MINNEAPOLIS W-8 P-06,State Representative District 61B,61B,WI,WRITE-IN**,1,0.4292
27,Hennepin,1770,EAGAN P-07,State Representative District 61B,61B,DFL,SUSAN ALLEN,128,50
27,Hennepin,1770,EAGAN P-07,State Representative District 61B,61B,RES,NATHAN BLUMENSHINE,128,50
27,Hennepin,1770,EAGAN P-07,State Representative District 61B,61B,WI,WRITE-IN**,0,0
27,Hennepin,1780,EAGAN P-08,State Representative District 61B,61B,DFL,SUSAN ALLEN,85,50.5952
27,Hennepin,1780,EAGAN P-08,State Representative District 61B,61B,RES,NATHAN BLUMENSHINE,83,49.4048
27,Hennepin,1780,EAGAN P-08,State Representative District 61B,61B,WI,WRITE-IN**,0,0
27,Hennepin,1825,MINNEAPOLIS W-10 P-05A,State Representative District 61B,61B,DFL,SUSAN ALLEN,106,65.4321
27,Hennepin,1825,MINNEAPOLIS W-10 P-05A,State Representative District 61B,61B,RES,NATHAN BLUMENSHINE,53,32.716
27,Hennepin,1825,MINNEAPOLIS W-10 P-05A,State Representative District 61B,61B,WI,WRITE-IN**,3,1.8519
27,Hennepin,1845,MINNEAPOLIS W-10 P-09,State Representative District 61B,61B,DFL,SUSAN ALLEN,79,59.8485
27,Hennepin,1845,MINNEAPOLIS W-10 P-09,State Representative District 61B,61B,RES,NATHAN BLUMENSHINE,52,39.3939
27,Hennepin,1845,MINNEAPOLIS W-10 P-09,State Representative District 61B,61B,WI,WRITE-IN**,1,0.7576
