county_code,county,precinct_code,precinct,office,district,party,candidate,votes,pct
01,Aitkin,0005,AITKIN,President,,R,MITT ROMNEY AND PAUL RYAN,465,47.89
01,Aitkin,0005,AITKIN,President,,DFL,BARACK OBAMA AND JOE BIDEN,478,49.23
01,Aitkin,0005,AITKIN,President,,LIB,GARY JOHNSON AND JIM GRAY,14,1.44
01,Aitkin,0005,AITKIN,President,,SWP,JAMES HARRIS AND MAURA DELUCA,2,0.21
01,Aitkin,0005,AITKIN,President,,CP,VIRGIL GOODE AND JIM CLYMER,1,0.10
01,Aitkin,0005,AITKIN,President,,CG,DEAN MORSTAD AND JOSH FRANKE-HYLAND,1,0.10
01,Aitkin,0005,AITKIN,President,,GP,JILL STEIN AND CHERI HONKALA,4,0.41
01,Aitkin,0005,AITKIN,President,,GR,JIM CARLSON AND GEORGE MCMAHON,4,0.41
01,Aitkin,0005,AITKIN,President,,SL,PETA LINDSAY AND YARI OSORIO,0,0.00
01,Aitkin,0005,AITKIN,President,,JP,"ROSS C. ""ROCKY"" ANDERSON AND LUIS J. RODRIGUEZ",1,0.10
01,Aitkin,0005,AITKIN,President,,WI,WRITE-IN**,1,0.10
01,Aitkin,0010,AITKIN TWP,President,,R,MITT ROMNEY AND PAUL RYAN,312,61.42
01,Aitkin,0010,AITKIN TWP,President,,DFL,BARACK OBAMA AND JOE BIDEN,190,37.40
01,Aitkin,0010,AITKIN TWP,President,,LIB,GARY JOHNSON AND JIM GRAY,2,0.39
01,Aitkin,0010,AITKIN TWP,President,,SWP,JAMES HARRIS AND MAURA DELUCA,0,0.00
01,Aitkin,0010,AITKIN TWP,President,,CP,VIRGIL GOODE AND JIM CLYMER,0,0.00
01,Aitkin,0010,AITKIN TWP,President,,CG,DEAN MORSTAD AND JOSH FRANKE-HYLAND,0,0.00
01,Aitkin,0010,AITKIN TWP,President,,GP,JILL STEIN AND CHERI HONKALA,1,0.20
01,Aitkin,0010,AITKIN TWP,President,,GR,JIM CARLSON AND GEORGE MCMAHON,0,0.00
01,Aitkin,0010,AITKIN TWP,President,,SL,PETA LINDSAY AND YARI OSORIO,0,0.00
01,Aitkin,0010,AITKIN TWP,President,,JP,"ROSS C. ""ROCKY"" ANDERSON AND LUIS J. RODRIGUEZ",0,0.00
01,Aitkin,0010,AITKIN TWP,President,,WI,WRITE-IN**,3,0.59
01,Aitkin,0015,BALL BLUFF TWP,President,,R,MITT ROMNEY AND PAUL RYAN,78,45.09
01,Aitkin,0015,BALL BLUFF TWP,President,,DFL,BARACK OBAMA AND JOE BIDEN,91,52.60
01,Aitkin,0015,BALL BLUFF TWP,President,,LIB,GARY JOHNSON AND JIM GRAY,0,0.00
01,Aitkin,0015,BALL BLUFF TWP,President,,SWP,JAMES HARRIS AND MAURA DELUCA,0,0.00
01,Aitkin,0015,BALL BLUFF TWP,President,,CP,VIRGIL GOODE AND JIM CLYMER,0,0.00
01,Aitkin,0015,BALL BLUFF TWP,President,,CG,DEAN MORSTAD AND JOSH FRANKE-HYLAND,0,0.00
01,Aitkin,0015,BALL BLUFF TWP,President,,GP,JILL STEIN AND CHERI HONKALA,0,0.00
