county_code,county,precinct_code,precinct,office,district,party,candidate,votes,pct
06,Big Stone,0005,AITKIN,State Senator District 20,20,IP,LEON GREENSLIT,2,100
06,Big Stone,0005,AITKIN,State Senator District 20,20,R,GREGG KULBERG,1,100
06,Big Stone,0005,AITKIN,State Senator District 20,20,DFL,LYLE KOENEN,9,20.4545
06,Big Stone,0005,AITKIN,State Senator District 20,20,DFL,JOHN SCHULTZ,35,79.5455
06,Big Stone,0010,AITKIN TWP,State Senator District 20,20,IP,LEON GREENSLIT,0,0
06,Big Stone,0010,AITKIN TWP,State Senator District 20,20,R,GREGG KULBERG,0,0
06,Big Stone,0010,AITKIN TWP,State Senator District 20,20,DFL,LYLE KOENEN,3,25
06,Big Stone,0010,AITKIN TWP,State Senator District 20,20,DFL,JOHN SCHULTZ,9,75
06,Big Stone,0015,BALL BLUFF TWP,State Senator District 20,20,IP,LEON GREENSLIT,3,100
06,Big Stone,0015,BALL BLUFF TWP,State Senator District 20,20,R,GREGG KULBERG,6,100
06,Big Stone,0015,BALL BLUFF TWP,State Senator District 20,20,DFL,LYLE KOENEN,3,21.4286
06,Big Stone,0015,BALL BLUFF TWP,State Senator District 20,20,DFL,JOHN SCHULTZ,11,78.5714
06,Big Stone,0020,BALSAM TWP,State Senator District 20,20,IP,LEON GREENSLIT,0,0
06,Big Stone,0020,BALSAM TWP,State Senator District 20,20,R,GREGG KULBERG,0,0
06,Big Stone,0020,BALSAM TWP,State Senator District 20,20,DFL,LYLE KOENEN,0,0
06,Big Stone,0020,BALSAM TWP,State Senator District 20,20,DFL,JOHN SCHULTZ,5,100
06,Big Stone,0025,BEAVER TWP,State Senator District 20,20,IP,LEON GREENSLIT,1,100
06,Big Stone,0025,BEAVER TWP,State Senator District 20,20,R,GREGG KULBERG,12,100
06,Big Stone,0025,BEAVER TWP,State Senator District 20,20,DFL,LYLE KOENEN,5,35.7143
06,Big Stone,0025,BEAVER TWP,State Senator District 20,20,DFL,JOHN SCHULTZ,9,64.2857
06,Big Stone,0030,CLARK TWP,State Senator District 20,20,IP,LEON GREENSLIT,0,0
06,Big Stone,0030,CLARK TWP,State Senator District 20,20,R,GREGG KULBERG,6,100
06,Big Stone,0030,CLARK TWP,State Senator District 20,20,DFL,LYLE KOENEN,6,30
06,Big Stone,0030,CLARK TWP,State Senator District 20,20,DFL,JOHN SCHULTZ,14,70
06,Big Stone,0031,BEARDSLEY,State Senator District 20,20,IP,LEON GREENSLIT,0,0
06,Big Stone,0031,BEARDSLEY,State Senator District 20,20,R,GREGG KULBERG,3,100
06,Big Stone,0031,BEARDSLEY,State Senator District 20,20,DFL,LYLE KOENEN,4,13.7931
06,Big Stone,0031,BEARDSLEY,State Senator District 20,20,DFL,JOHN SCHULTZ,25,86.2069
06,Big Stone,0035,CORNISH TWP,State Senator District 20,20,IP,LEON GREENSLIT,1,100
06,Big Stone,0035,CORNISH TWP,State Senator District 20,20,R,GREGG KULBERG,0,0
06,Big Stone,0035,CORNISH TWP,State Senator District 20,20,DFL,LYLE KOENEN,7,30.4348
06,Big Stone,0035,CORNISH TWP,State Senator District 20,20,DFL,JOHN SCHULTZ,16,69.5652
