"county_code","county","office","district","party","candidate","votes","pct"
"01","Aitkin","U.S. Senate","","IP","STEPHEN WILLIAMS","15","71.43"
"01","Aitkin","U.S. Senate","","IP","GLEN R. ANDERSON MENZE","6","28.57"
"01","Aitkin","U.S. Senate","","R","DAVID CARLSON","235","39.04"
"01","Aitkin","U.S. Senate","","R","BOB CARNEY JR.","91","15.12"
"01","Aitkin","U.S. Senate","","R","KURT BILLS","276","45.85"
"01","Aitkin","U.S. Senate","","DFL","JACK EDWARD SHEPARD","48","3.34"
"01","Aitkin","U.S. Senate","","DFL","AMY KLOBUCHAR","1266","87.98"
"01","Aitkin","U.S. Senate","","DFL","""DICK"" FRANSON","80","5.56"
"01","Aitkin","U.S. Senate","","DFL","DARRYL STANTON","45","3.13"
"01","Aitkin","U.S. House","8","R","CHIP CRAVAACK","636","100.00"
"01","Aitkin","U.S. House","8","DFL","TARRYL L. CLARK","545","38.52"
"01","Aitkin","U.S. House","8","DFL","JEFF ANDERSON","172","12.16"
"01","Aitkin","U.S. House","8","DFL","RICHARD NOLAN","698","49.33"
"01","Aitkin","State Senate","10","R","CARRIE RUUD","587","100.00"
"01","Aitkin","State Senate","10","DFL","ANNE MARCOTTE","745","53.91"
"01","Aitkin","State Senate","10","DFL","TAYLOR STEVENSON","637","46.09"
"01","Aitkin","State House","10B","R","DALE K. LUECK","618","100.00"
"01","Aitkin","State House","10B","DFL","JOE RADINOVICH","992","72.04"
"01","Aitkin","State House","10B","DFL","DAVID SCHAAF","385","27.96"
"01","Aitkin","Chief Justice - Supreme Court","","NP","LORIE SKJERVEN GILDEA","915","49.92"
"01","Aitkin","Chief Justice - Supreme Court","","NP","JILL CLARK","431","23.51"
"01","Aitkin","Chief Justice - Supreme Court","","NP","DAN GRIFFITH","487","26.57"
"01","Aitkin","Associate Justice - Supreme Court 4","","NP","ALAN NELSON","380","20.98"
"01","Aitkin","Associate Justice - Supreme Court 4","","NP","TIM TINGELSTAD","543","29.98"
"01","Aitkin","Associate Justice - Supreme Court 4","","NP","DAVID R. STRAS","888","49.03"
"02","Anoka","U.S. Senate","","IP","STEPHEN WILLIAMS","146","60.33"
"02","Anoka","U.S. Senate","","IP","GLEN R. ANDERSON MENZE","96","39.67"
"02","Anoka","U.S. Senate","","R","DAVID CARLSON","2437","32.12"
"02","Anoka","U.S. Senate","","R","BOB CARNEY JR.","983","12.95"
"02","Anoka","U.S. Senate","","R","KURT BILLS","4168","54.93"
"02","Anoka","U.S. Senate","","DFL","JACK EDWARD SHEPARD","385","4.84"
"02","Anoka","U.S. Senate","","DFL","AMY KLOBUCHAR","7126","89.61"
"02","Anoka","U.S. Senate","","DFL","""DICK"" FRANSON","272","3.42"
"02","Anoka","U.S. Senate","","DFL","DARRYL STANTON","169","2.13"
"02","Anoka","U.S. House","3","R","ERIK PAULSEN","1397","92.03"
"02","Anoka","U.S. House","3","R","JOHN W. HOWARD III","121","7.97"
"02","Anoka","U.S. House","3","DFL","BRIAN BARNES","1329","100.00"
"02","Anoka","U.S. House","5","R","CHRIS FIELDS","704","100.00"
"02","Anoka","U.S. House","5","DFL","KEITH ELLISON","1761","77.89"
"02","Anoka","U.S. House","5","DFL","GARY BOISCLAIR","194","8.58"
"02","Anoka","U.S. House","5","DFL","GREGG A. IVERSON","306","13.53"
"02","Anoka","U.S. House","6","R","MICHELE BACHMANN","5014","83.75"
"02","Anoka","U.S. House","6","R","STEPHEN THOMPSON","680","11.36"
"02","Anoka","U.S. House","6","R","AUBREY IMMELMAN","293","4.89"
"02","Anoka","U.S. House","6","DFL","JIM GRAVES","3262","100.00"
"02","Anoka","State House","35B","R","PEGGY SCOTT","987","100.00"
"02","Anoka","State House","35B","DFL","SAM SCOTT","497","70.80"
"02","Anoka","State House","35B","DFL","SAMUEL BEARD","205","29.20"
"02","Anoka","State House","37B","R","TOREY HALL","112","10.28"
"02","Anoka","State House","37B","R","TIM SANDERS","978","89.72"
"02","Anoka","State House","37B","DFL","JON CHLEBECK","522","100.00"
"02","Anoka","County Commissioner District 1","01","NP","TOM GAMEC","548","17.21"
"02","Anoka","County Commissioner District 1","01","NP","DAN DENNO","511","16.04"
"02","Anoka","County Commissioner District 1","01","NP","ALLISON LISTER","727","22.83"
"02","Anoka","County Commissioner District 1","01","NP","MATT LOOK","1399","43.92"
"02","Anoka","County Commissioner District 2","02","NP","ANDY WESTERBERG","1027","45.56"
"02","Anoka","County Commissioner District 2","02","NP","DEBBIE JOHNSON","157","6.97"
"02","Anoka","County Commissioner District 2","02","NP","JULIE BRAASTAD","707","31.37"
"02","Anoka","County Commissioner District 2","02","NP","MIKE JUNGBAUER","363","16.10"
"02","Anoka","Chief Justice - Supreme Court","","NP","LORIE SKJERVEN GILDEA","5688","40.51"
"02","Anoka","Chief Justice - Supreme Court","","NP","JILL CLARK","3359","23.92"
"02","Anoka","Chief Justice - Supreme Court","","NP","DAN GRIFFITH","4994","35.57"
"02","Anoka","Associate Justice - Supreme Court 4","","NP","ALAN NELSON","2688","19.12"
"02","Anoka","Associate Justice - Supreme Court 4","","NP","TIM TINGELSTAD","6580","46.80"
"02","Anoka","Associate Justice - Supreme Court 4","","NP","DAVID R. STRAS","4793","34.09"
"03","Becker","U.S. Senate","","IP","STEPHEN WILLIAMS","18","54.55"
"03","Becker","U.S. Senate","","IP","GLEN R. ANDERSON MENZE","15","45.45"
"03","Becker","U.S. Senate","","R","DAVID CARLSON","373","50.13"
"03","Becker","U.S. Senate","","R","BOB CARNEY JR.","98","13.17"
"03","Becker","U.S. Senate","","R","KURT BILLS","273","36.69"
"03","Becker","U.S. Senate","","DFL","JACK EDWARD SHEPARD","49","6.31"
"03","Becker","U.S. Senate","","DFL","AMY KLOBUCHAR","676","87.11"
"03","Becker","U.S. Senate","","DFL","""DICK"" FRANSON","33","4.25"
"03","Becker","U.S. Senate","","DFL","DARRYL STANTON","18","2.32"
"03","Becker","State House","2B","R","DAVID COLLINS","171","35.40"
"03","Becker","State House","2B","R","STEVE GREEN","312","64.60"
"03","Becker","State House","2B","DFL","BRITA SAILER","405","100.00"
"03","Becker","County Commissioner District 2","02","NP","MARK A. HAGEDORN","75","21.31"
"03","Becker","County Commissioner District 2","02","NP","CRAIG FONTAINE","117","33.24"
"03","Becker","County Commissioner District 2","02","NP","BEN GRIMSLEY","160","45.45"
"03","Becker","Chief Justice - Supreme Court","","NP","LORIE SKJERVEN GILDEA","644","44.29"
"03","Becker","Chief Justice - Supreme Court","","NP","JILL CLARK","229","15.75"
"03","Becker","Chief Justice - Supreme Court","","NP","DAN GRIFFITH","581","39.96"
"03","Becker","Associate Justice - Supreme Court 4","","NP","ALAN NELSON","195","13.33"
"03","Becker","Associate Justice - Supreme Court 4","","NP","TIM TINGELSTAD","756","51.67"
"03","Becker","Associate Justice - Supreme Court 4","","NP","DAVID R. STRAS","512","35.00"
"04","Beltrami","U.S. Senate","","IP","STEPHEN WILLIAMS","39","63.93"
"04","Beltrami","U.S. Senate","","IP","GLEN R. ANDERSON MENZE","22","36.07"
"04","Beltrami","U.S. Senate","","R","DAVID CARLSON","464","45.53"
"04","Beltrami","U.S. Senate","","R","BOB CARNEY JR.","92","9.03"
"04","Beltrami","U.S. Senate","","R","KURT BILLS","463","45.44"
"04","Beltrami","U.S. Senate","","DFL","JACK EDWARD SHEPARD","53","2.62"
"04","Beltrami","U.S. Senate","","DFL","AMY KLOBUCHAR","1851","91.36"
"04","Beltrami","U.S. Senate","","DFL","""DICK"" FRANSON","52","2.57"
"04","Beltrami","U.S. Senate","","DFL","DARRYL STANTON","70","3.46"
"04","Beltrami","U.S. House","8","R","CHIP CRAVAACK","478","100.00"
"04","Beltrami","U.S. House","8","DFL","TARRYL L. CLARK","315","45.39"
"04","Beltrami","U.S. House","8","DFL","JEFF ANDERSON","78","11.24"
"04","Beltrami","U.S. House","8","DFL","RICHARD NOLAN","301","43.37"
"04","Beltrami","State Senate","5","R","JOHN CARLSON","607","100.00"
"04","Beltrami","State Senate","5","DFL","TOM SAXHAUG","631","67.49"
"04","Beltrami","State Senate","5","DFL","LAVERNE H. PEDERSON","304","32.51"
"04","Beltrami","Chief Justice - Supreme Court","","NP","LORIE SKJERVEN GILDEA","1484","51.87"
"04","Beltrami","Chief Justice - Supreme Court","","NP","JILL CLARK","616","21.53"
"04","Beltrami","Chief Justice - Supreme Court","","NP","DAN GRIFFITH","761","26.60"
"04","Beltrami","Associate Justice - Supreme Court 4","","NP","ALAN NELSON","404","13.75"
"04","Beltrami","Associate Justice - Supreme Court 4","","NP","TIM TINGELSTAD","1329","45.23"
"04","Beltrami","Associate Justice - Supreme Court 4","","NP","DAVID R. STRAS","1205","41.01"
"05","Benton","U.S. Senate","","IP","STEPHEN WILLIAMS","9","39.13"
"05","Benton","U.S. Senate","","IP","GLEN R. ANDERSON MENZE","14","60.87"
"05","Benton","U.S. Senate","","R","DAVID CARLSON","284","36.88"
"05","Benton","U.S. Senate","","R","BOB CARNEY JR.","111","14.42"
"05","Benton","U.S. Senate","","R","KURT BILLS","375","48.70"
"05","Benton","U.S. Senate","","DFL","JACK EDWARD SHEPARD","38","6.03"
"05","Benton","U.S. Senate","","DFL","AMY KLOBUCHAR","542","86.03"
"05","Benton","U.S. Senate","","DFL","""DICK"" FRANSON","26","4.13"
"05","Benton","U.S. Senate","","DFL","DARRYL STANTON","24","3.81"
"05","Benton","U.S. House","6","R","MICHELE BACHMANN","671","75.90"
"05","Benton","U.S. House","6","R","STEPHEN THOMPSON","117","13.24"
"05","Benton","U.S. House","6","R","AUBREY IMMELMAN","96","10.86"
"05","Benton","U.S. House","6","DFL","JIM GRAVES","541","100.00"
"05","Benton","State Senate","13","R","MICHELLE FISCHBACH","327","89.10"
"05","Benton","State Senate","13","R","FADUMO YUSUF","40","10.90"
"05","Benton","State Senate","13","DFL","PEGGY BOECK","191","100.00"
"05","Benton","State Senate","15","R","DAVE BROWN","242","100.00"
"05","Benton","State Senate","15","DFL","RON THIESSEN","88","40.00"
"05","Benton","State Senate","15","DFL","SALLY KNOX","132","60.00"
"05","Benton","State House","15B","R","JIM NEWBERGER","235","100.00"
"05","Benton","State House","15B","DFL","BRUNO S. GAD","34","15.45"
"05","Benton","State House","15B","DFL","BRIAN JOHNSON","186","84.55"
"05","Benton","County Commissioner District 5","05","NP","A. JAKE BAUERLY","132","36.67"
"05","Benton","County Commissioner District 5","05","NP","JANE DEAUSTIN","99","27.50"
"05","Benton","County Commissioner District 5","05","NP","STEPHEN T. SIMONES","129","35.83"
"05","Benton","Chief Justice - Supreme Court","","NP","LORIE SKJERVEN GILDEA","523","40.48"
"05","Benton","Chief Justice - Supreme Court","","NP","JILL CLARK","337","26.08"
"05","Benton","Chief Justice - Supreme Court","","NP","DAN GRIFFITH","432","33.44"
"05","Benton","Associate Justice - Supreme Court 4","","NP","ALAN NELSON","296","23.78"
"05","Benton","Associate Justice - Supreme Court 4","","NP","TIM TINGELSTAD","436","35.02"
"05","Benton","Associate Justice - Supreme Court 4","","NP","DAVID R. STRAS","513","41.20"
