county_code,county,precinct_code,precinct,office,district,party,candidate,votes,pct
01,Aitkin,0005,AITKIN,State Senator District 10,10,R,CARRIE RUUD,449,48.33
01,Aitkin,0005,AITKIN,State Senator District 10,10,DFL,TAYLOR STEVENSON,477,51.35
01,Aitkin,0005,AITKIN,State Senator District 10,10,WI,WRITE-IN**,3,0.32
01,Aitkin,0010,AITKIN TWP,State Senator District 10,10,R,CARRIE RUUD,294,59.51
01,Aitkin,0010,AITKIN TWP,State Senator District 10,10,DFL,TAYLOR STEVENSON,199,40.28
01,Aitkin,0010,AITKIN TWP,State Senator District 10,10,WI,WRITE-IN**,1,0.20
01,Aitkin,0015,BALL BLUFF TWP,State Senator District 10,10,R,CARRIE RUUD,69,41.82
01,Aitkin,0015,BALL BLUFF TWP,State Senator District 10,10,DFL,TAYLOR STEVENSON,95,57.58
01,Aitkin,0015,BALL BLUFF TWP,State Senator District 10,10,WI,WRITE-IN**,1,0.61
01,Aitkin,0020,BALSAM TWP,State Senator District 10,10,R,CARRIE RUUD,11,52.38
01,Aitkin,0020,BALSAM TWP,State Senator District 10,10,DFL,TAYLOR STEVENSON,10,47.62
01,Aitkin,0020,BALSAM TWP,State Senator District 10,10,WI,WRITE-IN**,0,0.00
01,Aitkin,0025,BEAVER TWP,State Senator District 10,10,R,CARRIE RUUD,8,18.60
01,Aitkin,0025,BEAVER TWP,State Senator District 10,10,DFL,TAYLOR STEVENSON,34,79.07
01,Aitkin,0025,BEAVER TWP,State Senator District 10,10,WI,WRITE-IN**,1,2.33
01,Aitkin,0030,CLARK TWP,State Senator District 10,10,R,CARRIE RUUD,34,36.96
01,Aitkin,0030,CLARK TWP,State Senator District 10,10,DFL,TAYLOR STEVENSON,58,63.04
01,Aitkin,0030,CLARK TWP,State Senator District 10,10,WI,WRITE-IN**,0,0.00
01,Aitkin,0035,CORNISH TWP,State Senator District 10,10,R,CARRIE RUUD,10,45.45
