county_code,county,precinct_code,precinct,office,district,party,candidate,votes,pct
06,Big Stone,0005,AITKIN,State Senator District 20,20,IP,LEON GREENSLIT,1,2.381
06,Big Stone,0005,AITKIN,State Senator District 20,20,R,GREGG KULBERG,12,28.5714
06,Big Stone,0005,AITKIN,State Senator District 20,20,DFL,LYLE KOENEN,29,69.0476
06,Big Stone,0005,AITKIN,State Senator District 20,20,WI,WRITE-IN**,0,0
06,Big Stone,0010,AITKIN TWP,State Senator District 20,20,IP,LEON GREENSLIT,0,0
06,Big Stone,0010,AITKIN TWP,State Senator District 20,20,R,GREGG KULBERG,6,37.5
06,Big Stone,0010,AITKIN TWP,State Senator District 20,20,DFL,LYLE KOENEN,10,62.5
06,Big Stone,0010,AITKIN TWP,State Senator District 20,20,WI,WRITE-IN**,0,0
06,Big Stone,0015,BALL BLUFF TWP,State Senator District 20,20,IP,LEON GREENSLIT,2,7.6923
06,Big Stone,0015,BALL BLUFF TWP,State Senator District 20,20,R,GREGG KULBERG,8,30.7692
06,Big Stone,0015,BALL BLUFF TWP,State Senator District 20,20,DFL,LYLE KOENEN,16,61.5385
06,Big Stone,0015,BALL BLUFF TWP,State Senator District 20,20,WI,WRITE-IN**,0,0
06,Big Stone,0020,BALSAM TWP,State Senator District 20,20,IP,LEON GREENSLIT,0,0
06,Big Stone,0020,BALSAM TWP,State Senator District 20,20,R,GREGG KULBERG,0,0
06,Big Stone,0020,BALSAM TWP,State Senator District 20,20,DFL,LYLE KOENEN,7,100
06,Big Stone,0020,BALSAM TWP,State Senator District 20,20,WI,WRITE-IN**,0,0
06,Big Stone,0025,BEAVER TWP,State Senator District 20,20,IP,LEON GREENSLIT,1,2.439
06,Big Stone,0025,BEAVER TWP,State Senator District 20,20,R,GREGG KULBERG,21,51.2195
06,Big Stone,0025,BEAVER TWP,State Senator District 20,20,DFL,LYLE KOENEN,19,46.3415
06,Big Stone,0025,BEAVER TWP,State Senator District 20,20,WI,WRITE-IN**,0,0
06,Big Stone,0030,CLARK TWP,State Senator District 20,20,IP,LEON GREENSLIT,2,5.7143
06,Big Stone,0030,CLARK TWP,State Senator District 20,20,R,GREGG KULBERG,14,40
06,Big Stone,0030,CLARK TWP,State Senator District 20,20,DFL,LYLE KOENEN,19,54.2857
06,Big Stone,0030,CLARK TWP,State Senator District 20,20,WI,WRITE-IN**,0,0
06,Big Stone,0031,BEARDSLEY,State Senator District 20,20,IP,LEON GREENSLIT,2,5.5556
06,Big Stone,0031,BEARDSLEY,State Senator District 20,20,R,GREGG KULBERG,4,11.1111
06,Big Stone,0031,BEARDSLEY,State Senator District 20,20,DFL,LYLE KOENEN,30,83.3333
