"county_code","county","office","district","party","candidate","votes","pct"
"01","Aitkin","U.S. Senate","","R","Roque ""Rocky"" De La Fuente","71","5.02"
"01","Aitkin","U.S. Senate","","R","Rae Hart Anderson","151","10.68"
"01","Aitkin","U.S. Senate","","R","Jim Newberger","938","66.34"
"01","Aitkin","U.S. Senate","","R","Merrill Anderson","254","17.96"
"01","Aitkin","U.S. Senate","","DFL","Steve Carlson","46","2.64"
"01","Aitkin","U.S. Senate","","DFL","Stephen A. Emery","25","1.44"
"01","Aitkin","U.S. Senate","","DFL","Amy Klobuchar","1642","94.31"
"01","Aitkin","U.S. Senate","","DFL","David Robert Groves","17","0.98"
"01","Aitkin","U.S. Senate","","DFL","Leonard J. Richards","11","0.63"
"01","Aitkin","U.S. Senate","Unexpired Term","R","Nikolay Nikolayevich Bey","32","2.20"
"01","Aitkin","U.S. Senate","Unexpired Term","R","Bob Anderson","550","37.85"
"01","Aitkin","U.S. Senate","Unexpired Term","R","Karin Housley","871","59.94"
"01","Aitkin","U.S. Senate","Unexpired Term","DFL","Christopher Lovell Seymore Sr.","19","1.13"
"01","Aitkin","U.S. Senate","Unexpired Term","DFL","Gregg A. Iverson","112","6.66"
"01","Aitkin","U.S. Senate","Unexpired Term","DFL","Tina Smith","1300","77.29"
"01","Aitkin","U.S. Senate","Unexpired Term","DFL","Nick Leonard","52","3.09"
"01","Aitkin","U.S. Senate","Unexpired Term","DFL","Richard W. Painter","179","10.64"
"01","Aitkin","U.S. Senate","Unexpired Term","DFL","Ali Chehem Ali","20","1.19"
"01","Aitkin","U.S. House","8","R","Harry Robb Welty","213","14.70"
"01","Aitkin","U.S. House","8","R","Pete Stauber","1236","85.30"
"01","Aitkin","U.S. House","8","DFL","Jason Metsa","54","3.17"
"01","Aitkin","U.S. House","8","DFL","Joe Radinovich","1207","70.83"
"01","Aitkin","U.S. House","8","DFL","Soren Christian Sorensen","60","3.52"
"01","Aitkin","U.S. House","8","DFL","Kirsten Kennedy","119","6.98"
"01","Aitkin","U.S. House","8","DFL","Michelle D. Lee","264","15.49"
"01","Aitkin","Governor & Lt Governor","","R","Mathew (Matt) Kruse and Theresa Loeffler","62","3.96"
"01","Aitkin","Governor & Lt Governor","","R","Jeff Johnson and Donna Bergstrom","853","54.54"
"01","Aitkin","Governor & Lt Governor","","R","Tim Pawlenty and Michelle Fischbach","649","41.50"
"01","Aitkin","Governor & Lt Governor","","DFL","Erin Murphy and Erin Maye-Quade","310","17.88"
"01","Aitkin","Governor & Lt Governor","","DFL","Lori Swanson and Rick Nolan","851","49.08"
"01","Aitkin","Governor & Lt Governor","","DFL","Tim Walz and Peggy Flanagan","519","29.93"
"01","Aitkin","Governor & Lt Governor","","DFL","Tim Holden and James P. Mellin II","37","2.13"
"01","Aitkin","Governor & Lt Governor","","DFL","Olé Savior and Chris Edman","17","0.98"
"01","Aitkin","Attorney General","","R","Doug Wardlow","517","35.24"
"01","Aitkin","Attorney General","","R","Robert Lessard","488","33.27"
"01","Aitkin","Attorney General","","R","Sharon Anderson","462","31.49"
"01","Aitkin","Attorney General","","DFL","Mike Rothman","108","6.56"
"01","Aitkin","Attorney General","","DFL","Debra Hilstrom","367","22.28"
"01","Aitkin","Attorney General","","DFL","Matt Pelikan","129","7.83"
"01","Aitkin","Attorney General","","DFL","Tom Foley","296","17.97"
"01","Aitkin","Attorney General","","DFL","Keith Ellison","747","45.36"
"01","Aitkin","County Commissioner District 3","03","NP","Donald (Don) Niemi","262","46.05"
"01","Aitkin","County Commissioner District 3","03","NP","Todd R. Johnson","177","31.11"
"01","Aitkin","County Commissioner District 3","03","NP","Robert Marcum","130","22.85"
"01","Aitkin","County Commissioner District 5","05","NP","Stephanie ""Steph"" Payment","209","33.66"
"01","Aitkin","County Commissioner District 5","05","NP","Galen N. Tveit (Tweet)","157","25.28"
"01","Aitkin","County Commissioner District 5","05","NP","Anne Marcotte","255","41.06"
"02","Anoka","U.S. Senate","","R","Roque ""Rocky"" De La Fuente","1072","5.98"
"02","Anoka","U.S. Senate","","R","Rae Hart Anderson","1370","7.64"
"02","Anoka","U.S. Senate","","R","Jim Newberger","13116","73.18"
"02","Anoka","U.S. Senate","","R","Merrill Anderson","2366","13.20"
"02","Anoka","U.S. Senate","","DFL","Steve Carlson","444","1.69"
"02","Anoka","U.S. Senate","","DFL","Stephen A. Emery","346","1.32"
"02","Anoka","U.S. Senate","","DFL","Amy Klobuchar","25055","95.57"
"02","Anoka","U.S. Senate","","DFL","David Robert Groves","219","0.84"
"02","Anoka","U.S. Senate","","DFL","Leonard J. Richards","152","0.58"
"02","Anoka","U.S. Senate","Unexpired Term","R","Nikolay Nikolayevich Bey","390","2.11"
"02","Anoka","U.S. Senate","Unexpired Term","R","Bob Anderson","5886","31.84"
"02","Anoka","U.S. Senate","Unexpired Term","R","Karin Housley","12212","66.05"
"02","Anoka","U.S. Senate","Unexpired Term","DFL","Christopher Lovell Seymore Sr.","233","0.90"
"02","Anoka","U.S. Senate","Unexpired Term","DFL","Gregg A. Iverson","773","3.00"
"02","Anoka","U.S. Senate","Unexpired Term","DFL","Tina Smith","19287","74.90"
"02","Anoka","U.S. Senate","Unexpired Term","DFL","Nick Leonard","779","3.03"
"02","Anoka","U.S. Senate","Unexpired Term","DFL","Richard W. Painter","3549","13.78"
"02","Anoka","U.S. Senate","Unexpired Term","DFL","Ali Chehem Ali","1130","4.39"
"02","Anoka","U.S. House","3","R","Erik Paulsen","2874","100.00"
"02","Anoka","U.S. House","3","DFL","Cole Young","1246","28.88"
"02","Anoka","U.S. House","3","DFL","Dean Phillips","3069","71.12"
"02","Anoka","U.S. House","5","R","Bob ""Again"" Carney Jr.","238","11.88"
"02","Anoka","U.S. House","5","R","Jennifer Zielinski","1064","53.12"
"02","Anoka","U.S. House","5","R","Christopher Chamberlin","701","35.00"
"02","Anoka","U.S. House","5","DFL","Frank Nelson Drake","223","3.54"
"02","Anoka","U.S. House","5","DFL","Patricia Torres Ray","658","10.44"
"02","Anoka","U.S. House","5","DFL","Margaret Anderson Kelliher","2584","41.00"
"02","Anoka","U.S. House","5","DFL","Ilhan Omar","2367","37.55"
"02","Anoka","U.S. House","5","DFL","Jamal Abdi Abdulahi","306","4.85"
"02","Anoka","U.S. House","5","DFL","Bobby Joe Champion","165","2.62"
"02","Anoka","U.S. House","6","R","Tom Emmer","11065","80.69"
"02","Anoka","U.S. House","6","R","A.J. Kern","1817","13.25"
"02","Anoka","U.S. House","6","R","Patrick Munro","831","6.06"
"02","Anoka","U.S. House","6","DFL","Ian Todd","12493","100.00"
"02","Anoka","State House","31B","R","Calvin (Cal) K. Bahr","1829","56.89"
"02","Anoka","State House","31B","R","Tom Hackbarth","1386","43.11"
"02","Anoka","State House","31B","DFL","Sue Larson","1969","100.00"
"02","Anoka","State House","41B","DFL","Jeffrey Alan Wagner","443","17.52"
"02","Anoka","State House","41B","DFL","Mary Kunesh-Podein","2086","82.48"
"02","Anoka","Governor & Lt Governor","","R","Mathew (Matt) Kruse and Theresa Loeffler","529","2.72"
"02","Anoka","Governor & Lt Governor","","R","Jeff Johnson and Donna Bergstrom","11277","57.99"
"02","Anoka","Governor & Lt Governor","","R","Tim Pawlenty and Michelle Fischbach","7639","39.29"
"02","Anoka","Governor & Lt Governor","","DFL","Erin Murphy and Erin Maye-Quade","7868","29.92"
"02","Anoka","Governor & Lt Governor","","DFL","Lori Swanson and Rick Nolan","8058","30.64"
"02","Anoka","Governor & Lt Governor","","DFL","Tim Walz and Peggy Flanagan","9877","37.56"
"02","Anoka","Governor & Lt Governor","","DFL","Tim Holden and James P. Mellin II","304","1.16"
"02","Anoka","Governor & Lt Governor","","DFL","Olé Savior and Chris Edman","193","0.73"
"02","Anoka","Attorney General","","R","Doug Wardlow","8825","48.84"
"02","Anoka","Attorney General","","R","Robert Lessard","3595","19.89"
"02","Anoka","Attorney General","","R","Sharon Anderson","5651","31.27"
"02","Anoka","Attorney General","","DFL","Mike Rothman","1573","6.13"
"02","Anoka","Attorney General","","DFL","Debra Hilstrom","5227","20.37"
"02","Anoka","Attorney General","","DFL","Matt Pelikan","2248","8.76"
